,OBJECTID,FIELD1,name,Stop_Abbr,Stop_Name,Bus_Stop_Type,Route_S_,Jurisdiction,OBJECTID.1,id,longitude,latitude
88,89,93,101108,101108,MCDANIEL ST SW @ FULTON ST SW,Bench,40,Atlanta,,,-84.40294199999994,33.74130200000008
89,90,94,101110,101110,WHITEHALL ST SW @ WHITEHALL TER SW,Sign on Post,40,Atlanta,,,-84.40292699999998,33.74400200000008
90,91,95,101124,101124,PETERS ST SW @ FAIR ST SW,Sign on Post,813,Atlanta,,,-84.40121899999997,33.747851000000026
91,92,96,101126,101126,PETERS ST SW @ HAYNES ST SW,Sign on Post,813,Atlanta,,,-84.39974999999998,33.74907500000006
92,93,97,101133,101133,MARTIN L KING JR DR NW @ PASCHAL BLVD SW,Shelter,3;68,Atlanta,,,-84.41429299999999,33.75477900000004
93,94,98,101135,101135,NORTHSIDE DR @ LARKIN ST,Sign on Post,94;813,Atlanta,,,-84.40515399999998,33.74805500000008
94,95,99,101137,101137,NORTHSIDE DR SW @ GREENSFERRY AVE SW,Shelter,94,Atlanta,,,-84.40679399999999,33.74608400000005
95,96,100,101139,101139,MARTIN L KING JR DR @ PASCHAL BLVD SW,Sign on Post,3,Atlanta,,,-84.41440199999994,33.75460900000007
96,97,101,101144,101144,MARTIN L KING JR DR @ SUNSET AVE,Shelter,3,Atlanta,,,-84.41025099999996,33.75450600000005
97,98,102,101156,101156,NORTHSIDE DR SW @ MITCHELL ST SW,Shelter,94,Atlanta,,,-84.40284499999996,33.75392800000003
98,99,103,101162,101162,NORTHSIDE DR SW @ CHAPEL ST SW,Sign on Post,94,Atlanta,,,-84.40325499999994,33.75086700000003
99,100,104,101165,101165,NORTHSIDE DR SW @ ATLANTA STUDENT MOVEMENT BLVD SW,Sign on Post,94,Atlanta,,,-84.40434899999997,33.74939600000005
100,101,105,101166,101166,NORTHSIDE DR SW @ NELSON ST SW,Sign Strapped to Pole,94,Atlanta,,,-84.40321099999994,33.75067900000005
101,102,106,101168,101168,MARTIN L KING JR DR @ JAMES P BRAWLEY  DR SW,Sign on Post,3,Atlanta,,,-84.41282499999994,33.754673000000025
102,103,107,101446,101446,MARTIN L KING JR DR @ GRIFFIN ST,Sign on Post,3,Atlanta,,,-84.41152299999999,33.75453600000003
103,104,108,101448,101448,MARTIN L KING JR DR NW @ SUNSET AVE NW,Sign on Post,3,Atlanta,,,-84.40992299999994,33.75473800000003
104,105,109,101460,101460,MCDANIEL ST SW @ WHITEHALL ST SW,Shelter,40,Atlanta,,,-84.40376999999995,33.74345800000003
105,106,110,101464,101464,MARTIN L KING JR DR NW @ JAMES P BRAWLEY DR NW,Sign on Post,3,Atlanta,,,-84.41262999999998,33.75473600000004
106,107,111,101466,101466,MARTIN L KING JR DR NW @ JOSEPH E LOWERY BLVD NW,Sign on Post,3,Atlanta,,,-84.41739099999995,33.754759000000035
