,Unnamed: 0,name,Stop_Name,Bus_Stop_Type,latitude,longitude,val_shelter,val_sign,val_seating,val_trash,val_exist,val_year,Unnamed: 12,Unnamed: 13,latitude_res,longitude_res,date,sign,shelter,trash,seating
1168,379,113116,RALPH D ABERNATHY BLVD SW @ PEEPLES ST,Bench,33.738,-84.420632,0.0,1.0,1.0,1.0,3,2025.0,0,0,33.738000000000056,-84.42063199999996,2025-02,0.0,0.0,0.869,0.868
1179,390,113166,RALPH D ABERNATHY BLVD SW @ DUNN ST SW,Shelter,33.738338,-84.416122,1.0,1.0,1.0,1.0,1,2024.0,0,0,33.738338000000056,-84.41612199999997,2025-02,0.0,0.925,0.0,0.878
1181,392,114014,RALPH D ABERNATHY BLVD @ MURPHY AVE,Sign on Post,33.738353,-84.411737,0.0,1.0,0.0,0.0,2,2024.0,0,0,33.738353000000075,-84.41173699999996,0,0.0,0.0,0.0,0.0
1185,396,114056,LEE ST @ RALPH DAVID ABERNATH BLVD,Shelter,33.738354,-84.414299,0.0,1.0,1.0,0.0,1,2025.0,Weird,0,33.73835400000007,-84.41429899999997,2025-02,0.0,0.44,0.0,0.0
1186,397,114068,METROPOLITAN PKY SW @ BROOKLINE ST SW,Sign on Post,33.727154,-84.408112,0.0,1.0,0.0,0.0,2,2025.0,0,0,33.72715400000004,-84.40811199999996,2025-02,0.0,0.895,0.89,0.725
1191,402,114082,RALPH D ABERNATHY BLVD @ W WHITEHALL ST,Shelter,33.738185,-84.413155,1.0,1.0,1.0,1.0,3,2025.0,0,0,33.738185000000044,-84.41315499999996,2025-02,0.0,0.919,0.867,0.794
1197,408,114104,METROPOLITAN PKWY SW @ BRONNER BROS WAY,Shelter,33.737442,-84.407921,1.0,1.0,1.0,1.0,2,2025.0,0,0,33.737442000000044,-84.40792099999999,2024-08,0.0,0.917,0.866,0.909
1220,435,115024,CENTRAL AVE SW @ GLENN ST SW,Sign on Post,33.738284,-84.393333,0.0,1.0,0.0,0.0,1,2025.0,0,0,33.73828400000008,-84.39333299999998,2025-03,0.0,0.0,0.0,0.665
1234,456,115138,WINDSOR ST SW @ RICHARDSON ST SW,Shelter,33.74062,-84.39824,1.0,1.0,1.0,1.0,3,2022.0,0,0,33.740620000000035,-84.39823999999999,2022-03,0.0,0.938,0.889,0.873
1290,516,117030,GLENWOOD AVE SE @ BILL KENNEDY WAY SE,Sign Strapped to Pole,33.739814,-84.357604,1.0,1.0,1.0,1.0,3,2025.0,0,0,33.739814000000024,-84.35760399999998,2025-03,0.0,0.916,0.848,0.857
1300,527,117116,MORELAND AVE SE @ GLENWOOD AVE SE,Shelter,33.739948,-84.349152,1.0,1.0,1.0,0.0,3,2025.0,0,0,33.73994800000003,-84.34915199999995,2025-05,0.0,0.931,0.0,0.894
1423,657,158008,PORSCHE AVE @ PERKINS ST,Sign on Post,33.657468,-84.406994,0.0,1.0,0.0,0.0,1,2025.0,Perpendicular,0,33.65746800000005,-84.40699399999994,2025-03,0.0,0.499,0.0,0.0
1428,662,158110,SYLVAN RD @ BAKER DR,Sign on Post,33.670184,-84.418942,0.0,1.0,0.0,0.0,1,2024.0,0,0,33.67018400000006,-84.41894199999996,2025-03,0.0,0.516,0.0,0.0
1449,683,158208,DOGWOOD DR@MARINA ST,Sign on Post,33.66248,-84.40936,0.0,1.0,0.0,0.0,2,2024.0,Obstacle,0,33.66248000000007,-84.40935999999994,2024-08,0.0,0.281,0.879,0.759
1469,704,158372,CLEVELAND AVE @ BLOUNT ST,Shelter,33.681414,-84.423572,1.0,1.0,1.0,1.0,2,2025.0,0,0,33.681414000000075,-84.42357199999998,2025-03,0.0,0.903,0.66,0.765
1473,708,158406,VIRGINIA AVE @ CLAY PL,Sign Strapped to Pole,33.658736,-84.416757,0.0,1.0,0.0,0.0,2,2015.0,0,0,33.65873600000003,-84.41675699999996,2025-03,0.0,0.0,0.0,0.853
1489,724,166078,MAIN ST @ VESTA AVE,Shelter,33.667483,-84.444567,1.0,1.0,1.0,1.0,3,2025.0,0,0,33.66748300000006,-84.44456699999995,2025-03,0.0,0.908,0.845,0.823
1491,726,166088,VIRGINIA AVE @ LEE ST,Bench,33.659044,-84.433305,0.0,1.0,0.0,0.0,2,2023.0,0,0,33.65904400000005,-84.43330499999996,2025-03,0.0,0.621,0.0,0.0
1496,731,166102,VIRGINIA AVE@ADAMS ST,Sign on Post,33.659351,-84.442101,0.0,1.0,1.0,0.0,1,2025.0,0,0,33.65935100000007,-84.44210099999998,2025-03,0.0,0.0,0.0,0.874
1531,767,210552,IVAN ALLEN JR BLVD NW @ LUCKIE ST,Sign Strapped to Pole,33.764497,-84.39566,0.0,1.0,0.0,0.0,3,2025.0,0,0,33.76449700000006,-84.39565999999996,2025-03,0.0,0.0,0.0,0.526
