,name,Stop_Name,Bus_Stop_Type,latitude,longitude,val_shelter,val_sign,val_seating,val_trash,val_exist,val_year,Notes,
1983,905526,PIEDMONT RD NE @ PEACHTREE RD NE,Shelter,33.844399,-84.371807,1,1,1,1,1,2024,,
1993,905669,WINN WAY @ BILL THRASHER DR,Sign on Post,33.78999,-84.279989,0,1,0,1,1,2024,,
2007,905796,N INDIAN CREEK DR @ 751,Shelter,33.797735,-84.236785,1,1,1,1,1,2024,,
2013,905912,CLAIREMONT AVE @ CLAIRMONT RUN,Sign on Post,33.788109,-84.306791,0,1,0,0,1,2025,,
2019,905984,CHURCH ST @ MEDLOCK RD,Sign on Post,33.786745,-84.290127,0,1,0,0,1,2024,,
2021,905986,CLAIREMONT AVE@MAEDIRIS DR,Sign on Post,33.78651,-84.305992,0,1,0,0,1,2025,,
2022,906006,PEACHTREE RD @ HIGHLAND DR,Sign Strapped to Pole,33.845641,-84.368791,0,1,0,1,1,2022,,
2024,906030,CLAIRMONT RD@DESMOND DR,Sign on Post,33.797167,-84.305742,0,1,0,0,1,2025,,
2027,906034,ROCKBRIDGE RD@ROCKBRIDGE TRL,Sign on Post,33.786873,-84.230408,0,1,0,0,1,2024,,
2031,906303,ROSWELL RD @ JOHNSON FERRY RD,Shelter,33.925191,-84.379111,1,1,1,1,1,2024,,
2032,906304,ROSWELL RD NE @ CROMWELL RD NE,Sign on Post,33.929142,-84.379456,0,1,0,1,1,2024,,
2034,906308,ROSWELL RD NE@HAMMOND DR NE,Sign on Post,33.918624,-84.378939,0,1,0,1,1,2024,,
2039,906327,CHARLES ALLEN DR @ 10TH ST,Sign on Post,33.781361,-84.37278,0,1,0,0,1,2025,,
2045,906342,MAIN ST@MAXWELL RD,Sign on Post,34.067867,-84.301102,0,1,0,0,1,2023,,
2046,906360,ROSWELL RD NE @ 6509,Sign on Post,33.934417,-84.379717,0,1,0,1,1,2024,,
2047,906361,ROSWELL RD NE @ CLIFTWOOD DR NE,Shelter,33.916242,-84.379236,1,1,1,1,1,2023,,
1451,902801,NORTH POINT PKWY @ ENCORE PKWY,Sign on Post,34.044106,-84.299527,,1,1,1,2,2023,,
1452,902802,NORTH POINT PKWY @ ENCORE PKWY,Sign on Post,34.043757,-84.299767,,1,,,2,2019,,
1455,902816,HAMMOND DR NE @ CONCOURSE PKWY,Shelter,33.9189,-84.354671,1,1,1,1,2,2024,,
1457,902820,NORTH POINT PKWY @ NORTH POINT CT,Sign on Post,34.047736,-84.288493,,1,,1,2,2021,,
1459,902822,NORTH POINT PKWY @ GEORGIA LN,Sign on Post,34.049247,-84.283975,,1,,1,2,2021,,
1460,902839,MARTIN L KING JR DR NW @ OLLIE ST NW,Sign on Post,33.754809,-84.421186,,1,,,2,2025,,
1461,902841,NORTH POINT PWKY @ 6499,Sign on Post,34.045385,-84.29407,,1,1,1,2,2023,,
